"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2000","15.41","15.28","16.19","15.07","95.26K","0.72%"
"10/01/2000","15.30","16.00","16.07","15.22","52.84K","-4.61%"
"09/01/2000","16.04","16.26","16.59","15.68","108.54K","-1.47%"
"08/01/2000","16.28","15.81","16.39","15.35","128.62K","3.04%"
"07/01/2000","15.80","16.20","16.23","15.60","31.79K","-2.71%"
"06/01/2000","16.24","16.43","17.21","16.15","39.95K","-0.49%"
"05/01/2000","16.32","18.40","19.16","16.26","20.11K","-10.48%"
"04/01/2000","18.23","18.75","19.20","18.05","16.62K","-3.44%"
"03/01/2000","18.88","16.18","18.90","16.09","56.33K","16.90%"
"02/01/2000","16.15","17.24","17.24","15.95","57.66K","-5.78%"
"01/01/2000","17.14","16.38","18.02","15.91","49.20K","5.02%"
"12/01/1999","16.32","17.20","17.38","15.70","86.85K","-5.17%"
"11/01/1999","17.21","16.85","17.25","16.31","61.77K","2.26%"
"10/01/1999","16.83","17.05","17.65","16.55","39.23K","-1.29%"
"09/01/1999","17.05","17.53","18.92","16.88","177.14K","-2.63%"
"08/01/1999","17.51","15.49","17.94","15.49","100.74K","14.67%"
"07/01/1999","15.27","16.57","16.70","14.96","52.13K","-8.23%"
"06/01/1999","16.64","17.88","17.95","16.48","22.67K","-8.27%"
"05/01/1999","18.14","19.78","19.91","17.48","26.42K","-7.68%"
"04/01/1999","19.65","19.28","20.90","18.46","23.68K","1.92%"
"03/01/1999","19.28","18.07","20.37","17.63","76.60K","6.58%"
"02/01/1999","18.09","22.03","22.20","18.05","74.79K","-18.11%"
"01/01/1999","22.09","23.62","24.30","22.08","50.40K","-5.60%"
